model,feature,coefficient,coefficient_lower_95,coefficient_upper_95,hazard_ratio,hazard_ratio_lower_95,hazard_ratio_upper_95,standard_error,z_statistic,p_value,number_of_firms,number_of_events,penalizer,l1_ratio
Naive Baseline Cox,leverage,0.2735561360006987,-0.038124245371234655,0.5852365173726322,1.3146311552761822,0.962593335694816,1.795415582401998,0.15902352483536866,1.7202243270855777,0.0853916726264662,88,40,0.0,0.0
Naive Baseline Cox,current_ratio,-0.8397075898425651,-1.5353078492531609,-0.14410733043196933,0.43183677842942453,0.2153893735045718,0.8657948169404266,0.3549046129915661,-2.3660092292531565,0.01798099616336735,88,40,0.0,0.0
Naive Baseline Cox,cash_ratio,-0.0892650966940074,-0.6750091601638928,0.496478966775878,0.9146030831804911,0.5091517566726506,1.6429262764992705,0.29885450349606413,-0.29869081994671365,0.7651759621077295,88,40,0.0,0.0
Naive Baseline Cox,return_on_assets,0.2098749355372387,-0.23589049632796602,0.6556403674024435,1.2335237803206054,0.7898671625520242,1.9263757106958084,0.2274355219694574,0.9227887258764401,0.3561173172371247,88,40,0.0,0.0
Naive Baseline Cox,revenue_growth,0.4028836806293521,0.115194560452067,0.6905728008066372,1.4961328523099184,1.1220917310100607,1.9948578622409816,0.14678286052526485,2.7447597027856405,0.006055521998558031,88,40,0.0,0.0
Naive Baseline Cox,operating_cash_flow_ratio,0.3858069832260844,0.051930783675482706,0.7196831827766861,1.4708007541986419,1.0533028342393829,2.0537824339126893,0.1703481299575781,2.264814901825821,0.02352404058035131,88,40,0.0,0.0
Naive Baseline Cox,log_total_assets,0.07641067169843077,-0.2970164840737878,0.4498378274706494,1.0794057645468025,0.7430317640705636,1.5680578689583715,0.1905275600560849,0.4010478676992349,0.6883848818769007,88,40,0.0,0.0
Naive Baseline Cox,operating_margin,-0.6231219071925806,-1.1705715572634114,-0.07567225712174985,0.5362676437450072,0.31018959947120506,0.9271200137531315,0.2793161784548307,-2.2308836911620147,0.02568883430315036,88,40,0.0,0.0
Left-Truncated Baseline Cox,leverage,0.222830543018231,-0.0986983280693369,0.5443594141057989,1.249608800857509,0.9060159863930962,1.723503976344893,0.16404835681866944,1.358322310198671,0.17436143401082105,88,40,0.0,0.0
Left-Truncated Baseline Cox,current_ratio,-0.6197852995605179,-1.2521573834852604,0.012586784364224557,0.5380599469013487,0.2858873624039229,1.0126663313310196,0.3226447470018902,-1.9209527051648754,0.05473767025605927,88,40,0.0,0.0
