penalizer,fold,validation_concordance,training_firms,validation_firms,training_events,validation_events,number_of_features,status,error
0.0,1,0.7375,70,18,32,8,8,success,
0.0,2,0.8857142857142857,70,18,32,8,8,success,
0.0,3,0.75,70,18,32,8,8,success,
0.0,4,0.6172839506172839,71,17,32,8,8,success,
0.0,5,0.7195121951219512,71,17,32,8,8,success,
0.001,1,0.725,70,18,32,8,8,success,
0.001,2,0.8857142857142857,70,18,32,8,8,success,
0.001,3,0.78,70,18,32,8,8,success,
0.001,4,0.6172839506172839,71,17,32,8,8,success,
0.001,5,0.7195121951219512,71,17,32,8,8,success,
0.01,1,0.7125,70,18,32,8,8,success,
0.01,2,0.8761904761904762,70,18,32,8,8,success,
0.01,3,0.85,70,18,32,8,8,success,
0.01,4,0.6419753086419753,71,17,32,8,8,success,
0.01,5,0.7317073170731707,71,17,32,8,8,success,
0.05,1,0.725,70,18,32,8,8,success,
0.05,2,0.8666666666666667,70,18,32,8,8,success,
0.05,3,0.87,70,18,32,8,8,success,
0.05,4,0.691358024691358,71,17,32,8,8,success,
0.05,5,0.7682926829268293,71,17,32,8,8,success,
0.1,1,0.7375,70,18,32,8,8,success,
0.1,2,0.8571428571428571,70,18,32,8,8,success,
0.1,3,0.87,70,18,32,8,8,success,
0.1,4,0.7037037037037037,71,17,32,8,8,success,
0.1,5,0.7804878048780488,71,17,32,8,8,success,
0.25,1,0.7375,70,18,32,8,8,success,
0.25,2,0.8380952380952381,70,18,32,8,8,success,
0.25,3,0.89,70,18,32,8,8,success,
0.25,4,0.7037037037037037,71,17,32,8,8,success,
0.25,5,0.7804878048780488,71,17,32,8,8,success,
0.5,1,0.7375,70,18,32,8,8,success,
0.5,2,0.8380952380952381,70,18,32,8,8,success,
0.5,3,0.89,70,18,32,8,8,success,
0.5,4,0.7037037037037037,71,17,32,8,8,success,
0.5,5,0.7804878048780488,71,17,32,8,8,success,
1.0,1,0.7375,70,18,32,8,8,success,
1.0,2,0.8380952380952381,70,18,32,8,8,success,
1.0,3,0.89,70,18,32,8,8,success,
1.0,4,0.7037037037037037,71,17,32,8,8,success,
1.0,5,0.7804878048780488,71,17,32,8,8,success,
